,swath_overlap,master,center_lat,center_lon,center_time,center_range,az_pix,heading,incidence,dfDC,ka,tecs_A,tecs_B,Hiono,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N,GPS_N,GPS_E,GPS_RMSE_E,GPS_RMSE_N,slope_plates_vel_azi_itrf2014,slope_plates_vel_azi_gps,count_all,daz_bovl_RMSE_selection,daz_bovl_count_selection,daz_bovl_RMSE_full,slope_daz_bovl_mmyear,intercept_daz_bovl_mmyear,daz_bovl_RMSE_mmy_full,daz_bovl_RMSE_mmy_full_error_multi,daz_bovl_noiono_RMSE_selection,daz_bovl_noiono_count_selection,daz_bovl_noiono_RMSE_full,slope_daz_bovl_noiono_mmyear,intercept_daz_bovl_noiono_mmyear,daz_bovl_noiono_RMSE_mmy_full,daz_bovl_noiono_RMSE_mmy_full_error_multi,daz_bovl_notide_RMSE_selection,daz_bovl_notide_count_selection,daz_bovl_notide_RMSE_full,slope_daz_bovl_notide_mmyear,intercept_daz_bovl_notide_mmyear,daz_bovl_notide_RMSE_mmy_full,daz_bovl_notide_RMSE_mmy_full_error_multi,daz_bovl_notide_noiono_RMSE_selection,daz_bovl_notide_noiono_count_selection,daz_bovl_notide_noiono_RMSE_full,slope_daz_bovl_notide_noiono_mmyear,intercept_daz_bovl_notide_noiono_mmyear,daz_bovl_notide_noiono_RMSE_mmy_full,daz_bovl_notide_noiono_RMSE_mmy_full_error_multi
0,1-1,2020-09-05,38.964791,73.860779,12:58:26.537656,824661.3949,13.96611,-10.6832290287,33.9519881426,4797.773650425647,-2255.710554885009,9.57858017246354e+16,9.550059953205002e+16,450.0,2.16,28.876666666666665,0.0278388218141503,0.1991858428704209,19.3565,26.7575,2.045095670133796,5.296002407476793,-3.230566310440433,14.060717458731972,206,19.228482124399825,133,46.80582378882514,4.288786896522551,-14.609958714490896,1.606075007220823,6.331787829210512,16.532032015374895,129,48.45096306636328,8.958486770138567,-23.82537591611457,1.6625256123628782,6.55433861481081,19.985878410294692,130,50.77625589493652,3.966286931103766,-3.8842296830392784,1.7423147153875433,6.868899061342802,18.206018024411726,126,51.34372194367133,8.612935877293978,-16.530942370672037,1.761786502540176,6.9456646073799835
1,1-2,2020-09-05,39.130556,73.82066,12:58:29.295933,824661.3949,13.96611,-10.683975739,33.920326588,4797.773650425647,-2255.710554885009,9.533601877704506e+16,9.504972490898227e+16,450.0,2.16,28.870000000000005,0.031224989991992,0.1991858428704209,16.875,27.1565,2.506722228994137,4.590990742748236,-3.229705397035534,11.547874277699988,206,18.331045893993664,130,47.54170321828194,4.204278885947808,-16.940538862456968,1.631325659048065,6.431335963139806,14.866893280305861,124,49.44041046394021,9.013275167791667,-29.209790034465936,1.6964770869352972,6.688188859983023,19.619270723932438,131,51.19457542725751,4.031799065819696,-9.111735794419753,1.7566687528022948,6.925488398076224,18.912320998459162,133,52.001518423924125,8.607131557248183,-21.25725962295691,1.7843578494635384,7.034649853458625
2,1-3,2020-09-05,39.296312,73.780442,12:58:32.054209,824661.3949,13.96611,-10.6848101979,33.9106119632,4797.773650425647,-2255.710554885009,9.490873907442611e+16,9.4621184941162e+16,450.0,2.0650000000000004,28.854375,0.0438130498063459,0.2655811238272279,16.875,27.1565,2.506722228994137,4.590990742748236,-3.3205803223225443,11.547440060526483,206,18.56926490042464,129,53.641140684275776,3.865818688725102,-13.211164215151072,1.8234790955388058,7.192520791090941,16.519220050112015,130,54.638496322271344,9.53169325841618,-25.124074844970544,1.8573832432415258,7.3262521225071975,22.050597871779757,132,58.17050730468676,3.532020768352627,0.11615822951997501,1.9774505667452786,7.799845004785916,17.460827733306644,123,58.242337164240475,8.56078110768026,-14.702363795041144,1.9798923538821798,7.809476376372552
3,1-4,2020-09-05,39.462057,73.740129,12:58:34.812486,824661.3949,13.96611,-10.6857955252,33.9062742358,4797.773650425647,-2255.710554885009,9.449023349803486e+16,9.420132054878624e+16,450.0,2.18,28.855555555555554,0.033208098075285,0.1991858428704209,16.875,27.1565,2.506722228994137,4.590990742748236,-3.208287657893528,11.54692733465496,206,18.60184337037824,136,47.40590502944406,5.973479144550432,-23.209645718161774,1.6266659381102735,6.41296548592757,15.741745084005338,132,48.20632726829682,10.339744041912272,-28.656951261320074,1.6541312842784188,6.521244827683485,20.001128135242944,131,51.40377431115237,5.460494059428284,-9.65776543897026,1.7638471137788718,6.953788358203111,17.58438372549982,128,51.1947842716086,9.739524871958583,-20.013455708664573,1.7566759189979857,6.925516650075941
4,1-5,2020-09-05,39.627745,73.699384,12:58:37.570763,824661.3949,13.96611,-10.6869666062,33.8619125434,4797.773650425647,-2255.710554885009,9.402280958847288e+16,9.373287618435853e+16,450.0,2.095,28.855000000000004,0.0358024884863915,0.2685821357357254,16.875,27.1565,2.506722228994137,4.590990742748236,-3.2922981282027157,11.546317945366283,206,19.833938011491927,139,53.199751700659824,4.794936787478177,-16.789775261518848,1.8084745006633356,7.133336750611599,18.373165334370405,138,54.1167914171884,9.83542616673535,-24.269004868422066,1.839648385698934,7.256298849165956,22.230582939314452,134,57.4676074584502,4.354641039973885,-2.1873996885846916,1.9535561610797603,7.705596044125894,19.457377331442288,129,57.500679082523696,9.00639174554179,-14.397708204412542,1.9546803991996853,7.710030482706234
5,1-6,2020-09-05,39.793779,73.661014,12:58:40.329040,824661.3949,13.96611,-10.686438446,33.8730131302,4797.773650425647,-2255.710554885009,9.360980237079651e+16,9.331846376959917e+16,450.0,2.2100000000000004,28.82166666666667,0.0438661877103821,0.1961446590471615,16.875,27.1565,2.506722228994137,4.590990742748236,-3.172846514462188,11.546592781921508,206,18.9255881694422,135,46.58972369174789,4.17921291852308,-12.62814480965012,1.5986598409684467,6.30255428830034,15.96012705271041,131,47.093187876577396,9.1720543036107,-19.380657535129345,1.6159354955522247,6.370661804414774,20.94418733810695,131,50.912631918621315,4.154147611833287,0.4074973565798139,1.7469942639029514,6.88734770676905,17.37028469054225,128,50.42015222953709,8.519976167807497,-11.318450044634933,1.730095526605446,6.820726148829045
6,1-7,2020-09-05,39.959791,73.622497,12:58:43.087317,824661.3949,13.96611,-10.6867140946,33.8769507026,4797.773650425647,-2255.710554885009,9.318747938496354e+16,9.289478312540051e+16,450.0,2.21,28.834444444444443,0.0350396600693812,0.1991858428704208,13.597111111111111,27.45588888888889,1.8073141982265044,4.640151356487319,-3.1753542367773178,8.269894435904114,206,20.29565802036902,135,50.755413315116456,4.006903145626943,-17.576598673889922,1.7415995320230626,6.866079523461587,18.533054746260728,136,52.7865941333538,9.392760102088499,-30.948981644587935,1.811296601388537,7.140853150817583,24.896156576309476,141,54.92732986090733,3.395735727072001,-7.905864740920812,1.8847528910288964,7.430447122850519,20.885091965493473,131,55.964335807183765,8.6771460374298,-22.624745341525788,1.9203362692890016,7.570730982805136
7,1-8,2020-09-05,40.125496,73.581794,12:58:45.845594,824661.3949,13.96611,-10.6876164733,33.8521586213,4797.773650425647,-2255.710554885009,9.274014225969789e+16,9.244621271092365e+16,450.0,2.1250000000000004,28.83,0.038847019307675,0.2685821357357255,13.597111111111111,27.45588888888889,1.8073141982265044,4.640151356487319,-3.2585081975022563,8.26942980758831,206,20.066344519295086,136,54.22839491803547,3.0106875489164566,-14.734911952814608,1.843442239598901,7.271263305364337,16.259598641470344,130,54.95812967476882,7.4048320602710005,-27.720659156553666,1.868248872291944,7.369110449232493,19.20568634503835,128,58.00326931550585,2.609454876837673,-7.4793782729701155,1.9717654718095172,7.7774207479766915,17.112349686813435,125,57.88872109006173,7.3746732636600845,-20.18351363328164,1.9678715148231005,7.762061445721383
8,1-9,2020-09-05,40.29119,73.540996,12:58:48.603871,824661.3949,13.96611,-10.6891403504,33.8075323431,4797.773650425647,-2255.710554885009,9.226625334132344e+16,9.197128693641512e+16,450.0,2.24,28.795,0.0499999999999998,0.1961446590471617,10.944833333333332,28.599499999999995,0.5524399514879416,2.2886227663524337,-3.139775828994969,5.450272383533021,206,17.733110106284656,133,52.29330516614578,3.6723763578696427,-11.765645339916679,1.7943700948677523,7.074122115531386,14.454325603610672,125,53.86544186218469,8.38255275100794,-19.967985140262485,1.8483157206692589,7.286797274134428,18.3001288412724,128,55.933760313449454,3.2143689693130257,1.6165880604568104,1.9192871148816026,7.5665947979583015,18.30399845076858,131,56.562978188870446,7.977297181777087,-12.725753671896376,1.9408778277888032,7.651713993883307
9,1-10,2020-09-05,40.456874,73.500087,12:58:51.362148,824661.3949,13.96611,-10.6902214257,33.8324828374,4797.773650425647,-2255.710554885009,9.18631258234693e+16,9.157447252189024e+16,450.0,2.155,28.814166666666665,0.0391868097783689,0.2685821357357254,10.944833333333332,28.599499999999995,0.5524399514879416,2.2886227663524337,-3.227397729284837,5.449703817856274,206,17.490064429559926,132,50.02126900275265,4.032332314110185,-14.89164471939106,1.7164084182612227,6.766766112316817,17.074229404658475,131,51.122702988929646,8.345735227149131,-22.653618243347097,1.7542025527108822,6.91576565433576,19.5706957562149,128,53.69196840485095,4.1132528965695725,-5.929416927503012,1.8423632266912333,7.2633301703228925,19.041758246047035,130,53.88894546622403,7.8670213217697045,-14.4282078389307,1.8491222132800396,7.289976789458639
